Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,Description,Images,Breed,target
Cat,5.0,Female,Brown,Gray,White,Medium,No,No,Yes,No,Healthy,0.0,"Active, playful and healthy",5d55a0cb3-2.jpg,Burmese,True
Dog,3.0,Female,Black,Brown,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,"Tauriel is a loving, smart and really quiet dog. She is the best pet I have ever had, but she can't stay in a condominium. I'm looking for someone that has landed property and can commit to giving her a good life.",358270782-1.jpg,Mixed_Breed,False
Cat,3.0,Male,Brown,Yellow,Gray,Medium,Yes,No,Yes,No,Healthy,0.0,Noah is a healthy 4 months old male and very playful.,e7fbd95a9-4.jpg,Domestic_Short_Hair,False
Cat,2.0,Male,Yellow,White,Unknown,Medium,No,No,Yes,No,Healthy,0.0,"I'm a good boy, please come to take me home.",25b3328fd-4.jpg,Domestic_Medium_Hair,False
Cat,5.0,Female,Black,Gray,White,Medium,No,No,No,No,Healthy,0.0,"This cat was put on boarding and the owner is deemed to have abandoned it for he didn't come to pick it up nor is he answering phone calls from the vet boarding. The poor cat is now being looked after by the vet assistants. She has beautiful, bold stripes spread lavishly across her fur. Warms up easily to anyone, playful and loves attention. She is now available for adoption and can be viewed at Taipan, USJ. Please contact Rani if you are interested. No adoption fee.",ec7eecc57-6.jpg,Tabby,True
Cat,2.0,Male,Cream,White,Unknown,Medium,Unknown,Yes,Yes,No,Healthy,400.0,"♥ Male, 8 weeks old, white cream point with blue eyes. Father was a Ragdoll and mother is an American Curl (given up by previous owners while pregnant). ♥ Christian is both a rambunctious player and a shy little love-dove! He is careful of new situations as much as he tests them, and once he warms up, he can skip over at his humans better than the fastest bunny. He's our favourite boy and it took a lot of heart to place him for adoption - heavy purrer (he'll sound like an engine!) and especially loves being stroked and kissed while carried. He can be a lap-cat when relaxing (not while he's busy playing of course, he'll jump off). Also enjoys being shown around the house. ♥ He's already had his first vaccination and deworming. Not fussy about kibble or wet food and is very clever with the litter box! ***IMPORTANT: Note For Potential Adopters*** - Christian must be kept INDOORS at all times. Apartments must be cat-safe. - He's been raised since birth on a grain-free healthy diet and this must be maintained (no Whiskas, Friskies, etc). Feel free to inquire if unsure, this is for any cat's long term well being. - Neutering is COMPULSORY and we will reject anyone who doesn't fit this requirement. There are far too many homeless kittens on the streets. If you feel that you may be just the right person for this boy, please drop me a message with details about yourself and your experience with cats (via WhatsApp or email). Thank you!",183eb3fe5-12.jpg,American_Curl,False
Cat,8.0,Male,White,Unknown,Unknown,Medium,Yes,Yes,Yes,Unknown,Healthy,0.0,"we found Buddy wandering in the middle of multi lane highway and couldn't leave him there. He is sweet, playful and affectionate. He loves his cuddles and is very trusting. We'd love to find him a home where he is loved as much as he can give love",ccccfeabe-1.jpg,Domestic_Short_Hair,True
Cat,5.0,Male,Golden,Unknown,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,Tom Tom loves to kiss and nibbles a lot He is very playful,dc76a1735-1.jpg,Domestic_Short_Hair,False
Cat,2.0,Female,Brown,White,Unknown,Small,Yes,No,No,No,Healthy,0.0,Urgent! This cute brown tabby & white kitten for adoption. Suspected of being dumped at our apartments block for the past 2 weeks or so. About 1.5 - 2 months old No adoption fees. We are hoping that someone will take her in because she's still young and very tiny to survive on her own outside,b22e78544-1.jpg,Domestic_Short_Hair,True
Cat,12.0,Female,Brown,White,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"Miso was a stray kitty with the cutest kink tail who often visited us for affection and attention. She soon grew close to our family, along with Peppa (listed in my account), and was allowed to live indoors with us. She is very healthy - dewormed, vaccinated and neutered - and clean as she has been given anti-flea treatment. We are hoping to rehome Miso as our house cat did not grow very fond of her. She has a friendly and kind personality, and she is often seen lazing around on our sofas. She likes playing with toys and of course petting and scratching all over - even her soft little belly. Please message or WhatsApp to enquire more about the cats.",4bd7346d6-4.jpg,Domestic_Short_Hair,True
Cat,3.0,Male,Black,Unknown,Unknown,Medium,No,No,Yes,No,Healthy,0.0,"Found this little fella 2 weeks ago, clean him up and dewormed. Hoping to find him a forever loving home.",d06076338-5.jpg,Domestic_Medium_Hair,True
Cat,1.0,Female,Black,Gray,White,Medium,Yes,No,No,No,Healthy,0.0,"Tomi was rescued by a friend in Kajang. She was tiny and very weak then, but has now recovered and blossomed. She is playful and a very charming kitty. She is pretty adventurous and gets along with dogs at her foster home. Vaccination and neutering are COMPULSORY. Please call if interested.",3be835fa8-4.jpg,Tortoiseshell,False
Cat,3.0,Male,Brown,White,Unknown,Medium,Unknown,No,Yes,No,Healthy,38.0,"Hope was found in an alley. I rescued him as he was too unique to be an alley cat, plus he was very approachable. He has long white whiskers and a tail that rattles like a bell when he stretches. Hope is toilet trained and enjoys dry and wet food. Belly rubs also his favourite. Hope is generally well behaved. He will surely grow into a most gorgeous cat !!",53b89efb9-1.jpg,Domestic_Long_Hair,True
Dog,2.0,Female,Brown,Unknown,Unknown,Medium,No,Unknown,Unknown,Unknown,Healthy,0.0,Cute baby looking for a home. Bouncy was separated with her Mother as MPPJ took away her Mother. Currently a friend is fostering her. Urgently need someone to adopt her. She is a very friendly baby. Please help her to find a home!,b78b30c18-1.jpg,Mixed_Breed,False
Dog,2.0,Male,Brown,White,Unknown,Small,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"""Elmo"" meaning ""helmet, protection."" Elmo is one of the 5 puppies that are rescued (Twinkle,Buddy,Sparky and Pixie) Really hope they can be adopted by a loving and caring family as soon as possible.. If interested , please contact Mrs.Lai at.. thanks :)",9cc36a057-1.jpg,Mixed_Breed,False
Dog,1.0,Female,Black,Gray,Unknown,Medium,No,No,No,No,Healthy,0.0,"A kind Feeder rescued Foxy and is fostering her now. Foxy is 6 week old and looking for a good home and a good family. She is very young and need love , patient and attention, so must take care her well. Please Call or What app to this no or Email to",35fdb89c9-2.jpg,Mixed_Breed,True
Cat,3.0,Female,White,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,Momo and her mum was found behind my shop hiding for shelter. She is so active and playful. I'm looking for a good and lovely family for her. ^^,0db02527a-2.jpg,Domestic_Short_Hair,False
Dog,36.0,Female,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"Sunshine is a jovial, playful and beautiful black greyhound mix, lanky and lean in body structure but only average in size. A little meek with other dog.She loves a variety of fruits and dog snacks. She loves to be stroked and hugged which she gets a lot from me. She has undergone full coarse of vaccinnation and spayed and ready for a loving home. If you are ready to commit to caring for her for the next ten years or more, please contact Mdm. Jocelyn at",e1052f933-8.jpg,Mixed_Breed,False
Dog,1.0,Female,Brown,Unknown,Unknown,Medium,Yes,No,Yes,No,Minor Injury,38.0,"CHOCOLATE was found having a small maggot wound on the left shoulder, suspected bitten by the sibling. She was immediate sent to a vet for check up and treatment was given. She will start a vaccination 2 weeks later and the prognosis for the wound is good. Pls give her a home.",b9c0de515-1.jpg,Mixed_Breed,False
Dog,12.0,Female,Brown,White,Unknown,Medium,Yes,No,No,Yes,Healthy,0.0,"Lucky is a female dog about a year old. Her character reflects her innocence and true nature. She is all smile when you meet her. Never once did she hold any grudge against humans who had once bad treated or turn against her. Lucky, as her name, had managed to escape the dogcatchers who frequented our neighborhood many times. Aunty Jenny, a kind hearted lady who fed Lucky, will meet her at the same place, same time everyday. And Lucky is always on time for her appointment, eargerly waiting for Aunty Jenny. It is heartbroken for Aunty Jenny to know that Lucky is always out on the street risking her life, knowing one day she will end up in the hands of those hideous dogcathers. She decided to sponsor Lucky's spaying fee and put her up for adoption, hoping someone will fall in love with Lucky and bring her back to home sweet home. Lucky is very friendly and playful being still a young adult. She can gets along well with other dogs and is sure to bring lots of entertainment and memorable moments to her owner-to-be. For those interested in adopting Lucky, please contact Aunty Jenny at or Ellen at.",8e3b1dcd1-1.jpg,Mixed_Breed,True
Dog,9.0,Male,Brown,Cream,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,Bin is found wandering in Shah Alam.He appears to be a lost dog and is human friendly.Pls visit www.everydoghasitsday09.blogspot.com for more details,f1c03b3d0-2.jpg,Mixed_Breed,True
Dog,1.0,Female,Black,Brown,Unknown,Medium,No,Yes,Yes,No,Healthy,150.0,"This puppy was rescued from the streets as his mummy was to weak to feed him. As a result, he was in a weak condition. We sent him to the vet for treatment and now he is a handsome and strong boy looking for a new LOVING home. Remark: 1. Adoption fee RM is for spaying fee in the future. Please call John if interested to view the puppies or thanks",27e458086-8.jpg,Mixed_Breed,False
Cat,24.0,Male,Yellow,Unknown,Unknown,Medium,No,Unknown,Unknown,Unknown,Minor Injury,1.0,"lovable, knows how to use poop tray, eats kibbles and/or fish with rice. has ear mites and small injury but still worth alot of love. reason he cannot stay is he fights with the house cats.",c292a8b67-2.jpg,Tabby,False
Dog,2.0,Male,Brown,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,I'm brown like Mocha and i'm still little. However once I can go to a new home I wish Someone will take me in and give me the love ill give them. please call or if your interested in adopting me. A must view.,6ad5153bb-3.jpg,Mixed_Breed,False
Cat,2.0,Female,Black,Unknown,Unknown,Large,Yes,No,No,No,Healthy,0.0,"BIG BAD NYAU SALE LELONG LELONG. Penghabisan Stok PERCUMA! Peluang Terakhir untuk dapatkan si comel. Boleh di jadikan hadiah hari jadi, perkahwinan dan sebagainya. Boleh gomol, kemam asal jangan tertelan sudah. Cacing & kutu disertakan Hitam itu ohsem. Nama : Tammie Awesome DOB : /14 Jantina : Girl Baka : Cap ayam Kordinat : Puchong Harga : Priceless. mama cakap, kita tabole di perdagangkan. (free lettew) PM Mama saya tuk temuduga k.",147d6fab7-1.jpg,Domestic_Short_Hair,True
Cat,3.0,Male,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,"Onyx is a super playful and extremely affectionate kitten. He likes to playfully chase after people and other cats. He loves cuddling and likes to bury his head in your arms and has a powerful purr!. His fur is shiny and silky to touch, completely black with no markings and green eyes. He has a long straight tail. Healthy kitten, already had his first vaccination. Comes with a vaccination card for reference. Requirement for adoption is that you agree to neuter him at 6 months old.",d5aedc48b-6.jpg,Domestic_Short_Hair,True
Dog,12.0,Male,Cream,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,Found with choke chain in damansara jaya,99c7658be-2.jpg,Mixed_Breed,True
Dog,1.0,Male,Black,White,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"WhiteSocks is a cute and playful boy. He loves to eat and get cuddles. He is sure to love anyone that is willing to love and care for him. Adopter should not tie or cage him for long periods of time. Only interested, serious adopters please call the number above. Please remember that a dog is a years commitment, if you cannot commit then please think twice. Donations towards medical fee's is appreciated :)",dea0253b6-4.jpg,Mixed_Breed,True
Cat,6.0,Female,Brown,Yellow,White,Small,No,Yes,Yes,Yes,Healthy,0.0,LOOKING FOR A FOREVER HOME FOR HER,2ea365a6f-1.jpg,Domestic_Medium_Hair,False
Dog,2.0,Male,Brown,Unknown,Unknown,Medium,Yes,Unknown,Unknown,No,Healthy,0.0,Lovely puppy looking for a forever home. If u are interested to adopt pls contact Rachel,1e85c2b18-1.jpg,Yellow_Labrador_Retriever,False
Cat,5.0,Male,Black,Unknown,Unknown,Medium,No,No,Yes,Unknown,Healthy,0.0,Nice little cat...healty....available in rawang...for freee,54cccb3cb-1.jpg,Domestic_Medium_Hair,False
Dog,3.0,Female,Black,Cream,White,Medium,Yes,Yes,Yes,Unknown,Healthy,100.0,Very friendly dog. Loves to play with people and with the other dogs.,4cef5b961-1.jpg,Mixed_Breed,False
Dog,60.0,Female,Brown,Unknown,Unknown,Medium,No,Unknown,Yes,Yes,Healthy,0.0,"Mimi is a beautiful shaggy terrier, with somewhat sad eyes. She is smart, calm and friendly. Follows commands easily. Weighs around 15 kgs. Looking for a loving home. Reunited with her owner Jacky on March 20. It's been a merry-go-round ride for Mimi, so i am really happy that this great dog is back where she belongs.",aba03a4c5-2.jpg,Terrier,True
Dog,3.0,Female,Brown,Golden,Unknown,Medium,No,Yes,Yes,No,Healthy,50.0,Mah was found abandoned at Puchong Jaya. It is a friendly dog & get along with kids.,f096fcbc6-1.jpg,Mixed_Breed,True
Dog,60.0,Male,White,Unknown,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"Rembrandt Male spitz, age 4-5, found abandoned in New Green Park, Rawang. Has since been dewormed, vaccinated, groomed, given anti-tick/flea treatment and neutered. He has a quiet and sweet personality, and is eager to please, though still somewhat fearful after being abandoned in a vacant house for more than one month.",848c1d759-1.jpg,Spitz,True
Cat,3.0,Male,Gray,White,Unknown,Small,Yes,No,Yes,No,Healthy,0.0,This brave kitten was found hoping from one car to another car hoping the car can bring him back to his mom...unfortunately we do not know where he came from as the time i found him he is covered with all black engine oil and in trauma stage. Send for checking and vaccinated 1st dose at Mayo clinic. Hope can find him a lovely home. Please call me at Pan if interested.,3a7bcfea4-1.jpg,Abyssinian,True
Dog,4.0,Male,Brown,Gray,Unknown,Large,Yes,Yes,Yes,No,Healthy,0.0,"Coffee is a big breed handsome boy who needs a kind and loving home. He was rescued in Cheras and came to us very friendly obviously telling us to find him a home. If you are looking for a loving dog, he is the one for you. Please call us immediatley at to adopt.",f06da7096-2.jpg,Mixed_Breed,True
Dog,2.0,Female,Brown,Unknown,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,Chocolate and tan mixed breed puppies for adoption,0286dd665-1.jpg,Mixed_Breed,True
Dog,2.0,Male,Brown,Unknown,Unknown,Medium,No,No,Yes,No,Healthy,0.0,Dog 4 Adoption,2401dd6df-1.jpg,Mixed_Breed,False
Cat,4.0,Male,Cream,Gray,Unknown,Small,No,Yes,Yes,Yes,Healthy,0.0,"Bought over from a seller, lil Nix here is very manja , active n always looking for more more love. medium length fur.",65df826e8-3.jpg,Siamese,True
Dog,5.0,Male,Cream,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"Today 22Feb,our hero puppy whom we rescued, was adopted by a very nice couple from Mahkota Cheras. Our hero almost 80% recovered from his tail injury. He is in very joyful mood can't wait to leave the veterinary he was awarded for the past 2 weeks. Boy2 (we named him), God bless you and your new owner. Take good care of the family n be a good boy. 😇🐶🐶 Helping this stray dog. Some bastard morons choked him with man made fan belt collar with screw and bolt and chopped of his tail. Maggots infected tail wound. We have took him to the vet Putra for treatment. He look like a mix pit bull. Now he is recovering well and we would like to seek for some kind hearted people to adopt him.",718c4b524-8.jpg,Mixed_Breed,True
Dog,3.0,Female,Brown,White,Unknown,Medium,No,No,Yes,No,Healthy,0.0,Dog 4 Adoption,8526200d3-1.jpg,Mixed_Breed,False
Cat,2.0,Male,Golden,Unknown,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"Hi! I am the healthiest and strongest of the brood- no health issues at all. The vet says I am a ridgeback, with good markings. I am a good kitty, not too fussy and patient with my siblings. If you'd like, I could come stay with you and be your forever friend. I am now under training as a mouser. Drop an email to my foster mummy any time!",4bb96a979-4.jpg,Domestic_Short_Hair,True
Dog,4.0,Male,Black,White,Unknown,Small,Yes,Yes,Yes,No,Healthy,200.0,"Gender: Male. Weight : 4kg. Age : Approximately 4 months old. Birth date : Approximately April . Breed : Mongrel. Spayed/Neutered : Scheduled. Dewormed : Yes. Vaccinated : Yes. Brief history : Ramen was brought in to the vet clinic for parvo virus treatment, in which he survived. However, sadly his rescuer left him there and did not go back for him. He's a gentle baby, a quiet one too. Love to play and cuddle. Adoption conditions : • to sign an adoption form. • MUST be neuter when he is 8 months old. The adoption fee is a deposit for the neutering fees. Adopter can choose to send him back to us for neutering at 8 months old or prove to us that neutering is done by showing the incision part & the vet written proof and we will refund the balance after paying/deducting the neutering fee. • we will send the dog(s) to adopter's house. • to be kept indoor at all times. • No free roaming outdoor. • No caging/leaching for long hours. • allow us to visit once in a while. • vaccinations to be follow up. • medical needs to be given if needed in future. • return to us/inform us if he were to be given to another person. • updates via whatsapp/email/Facebook/Instagram/house visit from time to time. • to be fed on proper food with proper nutrition meant for dogs. • love him/her as a part of the family till the last breath. • will not put the animal(s) down unnecessarily and will let us know before such decision is considered. Kindly contact us directly from private message us at Facebook (Lohicr) if interested. You can also help us to find a forever loving home for this sweetheart by clicking the SHARE button and share it with your friends or family that are interested in adopting him. Much appreciated.",bc14cca27-1.jpg,Mixed_Breed,False
Cat,10.0,Male,Black,White,Unknown,Large,Unknown,Unknown,Yes,No,Healthy,0.0,he is very friendly and kind eat a lot and like to rest most of the time. litter trained and very domestic.,dbcf45977-4.jpg,Persian,False
Cat,2.0,Female,Golden,White,Unknown,Small,Yes,No,No,No,Healthy,80.0,"Age:2 and a half months old It's a female kitten Very Active and Healthy COD at Mentari Court, Bandar Sunway Pls SMS me, Affi at",5d5942493-2.jpg,Domestic_Short_Hair,True
Dog,41.0,Male,Brown,Golden,Unknown,Medium,Yes,No,Yes,Yes,Healthy,0.0,Very cheerful and loves to play and be around people.,7803e9e5d-5.jpg,Mixed_Breed,True
Dog,3.0,Male,Brown,Unknown,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,Bought over from a seller from a morning market who chopped off the puppy's tail and tried to cover it up with human wound plaster despite the wound being infected. now fully healed and a rascal.,ef7555da8-1.jpg,Miniature_Pinscher,True
Dog,6.0,Male,Brown,Cream,White,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"Hi, may name is Gibson, I am super alert and very happy in nature. I am ready to be full in love with, please call my rescuer mama Nancy to find out more about ME!!",16dc1188b-1.jpg,Mixed_Breed,False
Dog,3.0,Female,Brown,Unknown,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"This puppy name is Momo she is 3 month old , very friendly and playful. Its a mis breed of Golden Retriver + Mongreal. So if anyone interested to adopt her kindly send me your number and I will call back. Location of the pups : Kelana Jaya, Selangor",ac8fa1b6c-1.jpg,Mixed_Breed,True
Cat,4.0,Male,Black,White,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,"Small Socks is a classic tuxedo cat, who is part of a litter of 3 kittens recently rescued after their mother died. He's healthy, playful and is looking for a forever home. He also has a lovely shiny black coat, and his fur is soft and silky. He has been vaccinated and dewormed, but not yet neutered as he's too young. If you're not able to adopt him, please spread the word so that he can find a loving home soon. Thanks!",6b307a8ec-4.jpg,Domestic_Short_Hair,True
Dog,30.0,Female,Black,Cream,White,Medium,No,Yes,Yes,Yes,Healthy,0.0,"We adopted this little angel from a vet clinic when she was only 2 mths old.According to vet said she was dumped inside a paper box near the clinic.When she was discovered, whole body is full of ant and one of her front leg was found infected badly. She was force to be amputated. When she undergone this complicated surgery, she has showed deep courage even though she was just a 2 months old puppy. We love her so much but due to certain circumstances, we no longer can take care of her and wish that she will find a new owner who will love and can take care of her.Please give this furry angel a sweet home. She is adorable, playful, obedient and she is also toilet trained. Although she is three legged, she is absolutely balance her body and even can run fast play well as normal dog. She rests and sleeps in the cage night time. She warms up easily and loves the company of other dogs and humans. She know basic command like how to sit down first wait for command""go"" before enjoy her food. Please give her a chance to have home.",2562fec96-1.jpg,Mixed_Breed,True
Cat,2.0,Male,Brown,White,Unknown,Small,No,No,No,No,Healthy,0.0,just found this kitten yesterday.. sangat comel dan bulu nye agak kembang jugak... really hope that somebody can adopt this kitten.. saya dah takde tempat nak letak.. buat masa ni saya hanya letak dalam tupperware kecik saja... cage saya dah digunakan untuk kucing lain.. harap ada org yg boleh bagi keselesaan yang lebih baik kepada baby.. call me AS SOON AS POSSIBLE = ( IZYAN),c80041cdf-1.jpg,Domestic_Medium_Hair,True
Cat,12.0,Male,White,Unknown,Unknown,Medium,Yes,Yes,Yes,Unknown,Healthy,0.0,"I have a cat up for adoption.. Rescued him and his brother close to 2 mths ago from the ground floor of my apartment complex. His previous owner have probably moved and left the cats. His brother has been adopted by a friend and now I'm checking to see if anyone is interested to adopt this lil fella. I really can't keep him because I already have 2 cats and my male cat just cannot and won't get along with him. I call him Olaf because of his beautiful white fur. He has been vaccinated, dewormed and vet has confirmed that he's a healthy chap. If anyone's interested, just lemme know. Or please help to spread the word around.",d4f31b018-1.jpg,Domestic_Short_Hair,False
Dog,5.0,Female,Black,Brown,Unknown,Medium,Yes,Unknown,Unknown,No,Healthy,550.0,"********** NEW Update ********** C’mie, the lost dog from Padang Merbok / Bukit Tunku is now available for adoption. My family and I have been nurturing her back to good health and training her with basic command. Unfortunately we are unable to foster her for an extended duration of time because of our working culture. She has the potential to be a worthy dog, as such I am looking for the best option for her. This shall be a process for adoption, as a friendly reminder, this is NOT a process of buying-selling. Whereby, a second visit shall be considered as conclusive that both of the adopter’s and c’mie criteria fits each other. By the end of this week .. the decision for the adoption will be made. I’m pleased to answer further questions regarding her characteristics and behaviour. As a general overview, she is an energetic, adventurous and fast-learning puppy. At time she is stubborn, vocal (She now has better control of excitement, she is not aggressive) and pleads with you thru the trick of the trade for being a puppy. She behaves well when you are grooming her, if she behaves otherwise, all she needs is time to relax beforehand. She requires a compound and daily walks. Preferably she is adopted by a family with basic knowledge of caring for a dog, a family with children and a family that is inclined for outdoor activities. She would require training to be an obedient dog as she possesses the traits of a dominant dog. Above all else, she reacts best with positive reinforcement. She is more likely to grow bigger but not taller. Her best features is her paws, it is strong and sturdy. Adoption fees RM includes Hills prescription diet I/D (More or less sufficient for July), Ear Drops, Ears Cleaning Fluid, Dog Bowl, Collar (She was found with this collar, would require a bigger collar when she grows bigger) and leash and Dog Bowl. If the adopter does not have a dog cage, I’m willing to provide mine for RM, as it is intended to be donated to the ASPCA. ********** End of Update ********** A puppy with RED collar was found at Padang Merbok. She was wandering about until my group of friends decided to play with her. During the drive to SPCA, it is apparent that she has experience being in the car. SPCA has placed her under the waiting list for adoption. A trip to the vet has confirmed that she has has negative result in both distemper and parvo cvirus. However, she does have an extended stomach as she has not been eating well. Within 2 weeks of regular feeding, it would allow her to return to good health. A treatable physical ailment is that she does have ear mites. Her ears are now cleaned daily coupled with the administration of ear drops. Now that she feels at comfort, it is apparent that she is an intelligent dog that would requires obedience and discipline. She is potentially a good guard dog, respective to the general traits of a German Shepard Dog. She DOES know that there are certain things that would get her into trouble. She will proceed with guilty eyes and plead vocally with you. She chooses to relief herself outdoors, groom herself post-walk. As of yet, there are no listing found for her. Her owner is still being sought after. Due to the extensive working hours during the weekday and marathon training during the weekend, I am unable to foster her for an extended period of time. She would be well suited for an active lifestyle.",6469a2a4a-5.jpg,German_Shepherd_Dog,True
Dog,1.0,Female,Golden,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"She is a playful little pup, she likes to explore and she is very well behave.",599d24d23-1.jpg,Mixed_Breed,False
Dog,2.0,Male,Golden,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,Apollo was abandoned at the Shelter 2 months ago with his eyes still closed and without his mother. It was a uphill battle to raise him on bottle feed. He is absolutely adorable and people friendly. A cute little pie. Please open your heart and home to him. Call me at to adopt the little prince,79669f807-1.jpg,Mixed_Breed,True
Cat,36.0,Male,Black,Brown,Unknown,Large,Yes,Yes,Yes,Yes,Healthy,0.0,"JJ IS THE OLDEST AND MOST LOVED CAT IN THE HOUSE. HE IS EASY TO CARE FOR AND VERY AFFECTIONATE. JJ WAS ACTUALLY A CAT THAT A FRIEND FOUND WANDERING AT JAYA JUSCO WANGSA MAJU. HE HAD A COLLAR BUT SINCE THERE WAS NO ADDRESS, HE TOOK HIM HOME AND PASSED JJ TO US. JJ LIKES TO GO AROUND IN CARS WHICH PROBABLY EXPLAINS HOW HE GOT LOST IN THE FIRST PLACE. JJ IS LITTER TRAINED, LIKES BATHES AND DOESN'T MIND GETTING HIS NAILS CLIPPED. AN EASY GOING AND LOVABLE CAT.",01ba4e94d-1.jpg,Domestic_Short_Hair,False
Dog,63.0,Female,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,50.0,"Tinka has been with our family since she was a puppy. Now we are moving abroad and out of our three dogs we can only take one with us. Therefore we are looking for a loving home for her. With her shiny black coat she looks quite impressive, but she is a gentle creature when it comes to people. We have always felt very safe with her around. Tinka has attended dog trainings and knows the basic commands. She loves to learn new things and show her skills, and if she gets a praise for it - even better! although she makes an excellent guard dog she spends a great deal of the day being lazy and just being happy to be around someone. Her ideal family takes her out on walks and makes her part of the family (one of her happy days was when she ""convinced"" me that she was allowed to watch TV on the couch with me). In return she will be very loyal and watch out for her family. She doesn't like cats and needs some time to get used to other dogs. She was fine with our other two dogs, and I never had a problem taking her to the vet or leaving her at the kennel when we went away, but there are a few dogs in our neighborhood that she does not approve of. We currently allow her to be inside the house as well as in the garden, so please don't keep her in a small cage or on a chain all day long. Staying alone during the day has never been a problem We really hope that there is someone out there who will take her in (maybe even together with Rosie) and give her the life she deserves",8b2be8807-4.jpg,Golden_Retriever,True
Cat,12.0,Male,White,Unknown,Unknown,Large,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"This male cat also from previous owner cum breeder. Whatsapp NOW. If no longer available, other cats available for adoption.",618ca94ad-1.jpg,Domestic_Short_Hair,True
Dog,12.0,Female,Yellow,White,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,Neuter cost will be beared by rescuer. Ipoh adopters are most welcomed,aa68a3672-1.jpg,Mixed_Breed,False
Dog,1.0,Female,Black,Brown,Unknown,Medium,No,Unknown,Unknown,No,Healthy,0.0,"About The Pet Hi everyone，Lexi was rescued by Kenny ) in a small town at Ijok. Lexi was left in the drain area due to abandoned for almost 2 days. She is about 2 weeks old now, and still feeding with milk. We are looking for people who are good hearted and passionate with dogs to adopt and accept Lexi as a family member. If anyone who are interested please contact our rescuer Kenny for more information about us.Thank you!! Call",1bbadc050-1.jpg,Mixed_Breed,False
Cat,3.0,Female,Cream,Gray,White,Medium,Yes,Yes,Yes,Yes,Healthy,100.0,Isa is very sweet n shy. Needs time to settle down. She is litter trained. She will be spayed before adoption.,81a815ef5-1.jpg,Domestic_Short_Hair,False
Cat,5.0,Male,Black,White,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"Tuxedo boy looking for home! This boy was found in front of the convenient store and was begging for food. He is super friendly and manja! He wasn't afraid of the strangers and kept asking for cuddles and loves people to stroke him! He is now completely healthy and ready for adoption. Adopter must vaccinate and neuter the cat. If interested, please contact.",122092781-3.jpg,Domestic_Short_Hair,True
Cat,1.0,Male,Black,Gray,White,Medium,Yes,No,Yes,No,Healthy,30.0,"Introducing dashing little Elvis! ♥ Male kitten, 7 weeks old. Ticked tabby with gorgeous hazel eyes. ♥ Frisky boy, loves to play. He even ""coo-s"" before making his dash anywhere. He adores people and knows how to speak (meow) back when spoken to. ♥ Elvis loves being cuddled to sleep. He does not struggle nor use his claws in any way. A real lap-kitten. ♥ This boy needs a little time to adjust around other cats (long as they do not pose any threat, he's alright). ♥ Elvis is healthy, has been de-wormed (once) and given Frontline (flea medication). Already clever with the litter-box and able to eat kibbles independently. ***[IMPORTANT] Note for potential adopters*** ○ Elvis must be kept % indoors for his own safety. Apartments need to be cat-safe. ○ Elvis must be neutered when he's older. He was rescued from the streets and there are far too many kittens like him out there who need homes. - Premium food feeding only (no Whiskas, Friskies etc). Please inquire, this is for his long term welfare. Please drop me an email or call if you feel that you may be just the right person for this boy. Thank you!",6ac437438-4.jpg,Domestic_Short_Hair,True
Cat,15.0,Male,Golden,White,Unknown,Large,Yes,Yes,Yes,Yes,Healthy,0.0,"Beto was a kitten that we found nearby our home a year ago.He is healthy, calm & a cute cat.",d768c4324-4.jpg,Domestic_Short_Hair,False
