"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out"
"1179",22,"F","Other","Less than 25","Low","Male",5,-1,4,1,1,"2014-03-18 01:16:05","2014-03-20 12:11:12"
"1180",23,"M","African-American","Less than 25","High","Male",1,-1,9,0,0,"2013-08-13 04:31:54","2013-08-18 04:39:19"
"1181",34,"F","African-American","25 - 45","High","Male",19,-1,10,1,1,"2014-01-21 08:57:17","2014-01-26 02:45:26"
"1182",59,"F","Caucasian","Greater than 45","Low","Female",1,-21,1,0,0,"2013-02-08 08:25:17","2013-02-13 09:36:45"
"1183",37,"F","Caucasian","25 - 45","Low","Male",0,-4,2,1,1,"2013-04-22 02:29:12","2013-04-23 03:38:43"
"1184",28,"F","Caucasian","25 - 45","Low","Female",0,-1,4,1,1,"2013-08-23 04:46:57","2013-08-24 02:25:28"
"1185",31,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-10-02 06:36:42","2013-10-03 08:18:14"
"1186",38,"F","African-American","25 - 45","High","Female",14,-1,10,1,1,"2014-07-12 06:46:27","2014-07-17 05:29:07"
"1187",33,"F","African-American","25 - 45","Low","Male",0,-4,1,1,1,"2014-02-07 09:21:52","2014-02-11 04:08:38"
"1188",27,"F","African-American","25 - 45","High","Male",3,-1,8,1,1,"2014-08-28 12:41:52","2014-08-29 01:55:31"
"1189",25,"M","Caucasian","25 - 45","Low","Male",2,0,4,1,1,"2013-02-19 03:48:40","2013-02-20 04:22:16"
"1190",42,"F","African-American","25 - 45","Low","Female",2,-1,2,0,0,"2013-11-25 05:04:34","2013-11-26 09:36:13"
"1191",22,"F","African-American","Less than 25","High","Male",3,-1,8,1,1,"2014-02-05 03:18:50","2014-03-03 08:00:17"
"1192",21,"F","Other","Less than 25","Medium","Male",0,-1,6,0,0,"2013-02-28 07:56:43","2013-03-02 05:27:36"
"1193",45,"F","Caucasian","Greater than 45","Medium","Male",1,0,5,1,1,"2013-04-11 12:51:25","2013-05-09 04:33:49"
"1194",21,"M","African-American","Less than 25","Low","Female",1,-11,3,1,1,"2014-12-05 04:26:22","2014-12-07 03:33:54"
"1195",52,"M","Caucasian","Greater than 45","Low","Male",2,-1,1,0,0,"2013-05-08 02:05:44","2013-05-09 09:08:14"
"1196",29,"M","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-05-22 08:43:56","2013-05-23 08:01:27"
"1197",37,"M","African-American","25 - 45","Low","Female",0,0,4,0,0,"2013-01-24 01:57:20","2013-01-29 05:24:05"
"1198",34,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0,"2013-04-13 09:32:38","2013-04-14 07:21:18"
"1199",53,"M","African-American","Greater than 45","Low","Male",0,0,1,1,1,"2013-01-24 03:10:35","2013-01-25 12:12:01"
"1200",30,"F","African-American","25 - 45","High","Female",8,-1,8,1,1,"2013-05-02 01:18:42","2013-05-03 12:53:21"
"1201",35,"M","Hispanic","25 - 45","Low","Male",0,-7,3,0,0,"2013-08-16 04:54:32","2013-08-17 07:16:37"
"1202",28,"F","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2013-05-19 05:41:59","2013-05-23 12:31:34"
"1203",21,"F","African-American","Less than 25","High","Male",1,-1,8,0,0,"2013-04-29 10:52:26","2013-04-30 07:18:46"
"1204",22,"F","African-American","Less than 25","Medium","Male",1,13,7,0,0,"2013-12-03 12:53:50","2014-01-16 03:17:58"
"1205",42,"M","Caucasian","25 - 45","Low","Male",1,-1,3,1,1,"2013-10-28 08:04:32","2013-10-29 02:05:32"
"1206",26,"F","African-American","25 - 45","Low","Male",3,0,4,1,1,"2014-09-09 04:01:30","2014-09-09 08:47:38"
"1207",54,"M","African-American","Greater than 45","Low","Male",9,0,1,0,0,"2013-12-28 01:57:40","2013-12-29 02:05:51"
"1208",39,"F","Other","25 - 45","Low","Male",1,-1,2,1,1,"2013-09-22 10:25:30","2013-09-23 01:52:27"
"1209",30,"F","African-American","25 - 45","High","Male",20,0,9,1,1,"2013-08-25 04:11:52","2014-07-08 06:34:39"
"1210",26,"F","African-American","25 - 45","Medium","Female",1,-1,6,1,1,"2013-09-12 12:49:19","2013-10-10 09:49:49"
"1211",41,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2014-01-07 04:31:06","2014-01-08 03:21:00"
"1212",23,"M","Caucasian","Less than 25","Medium","Male",5,0,5,1,1,"2014-09-13 01:32:17","2014-11-06 07:47:31"
"1213",43,"F","Caucasian","25 - 45","Low","Male",1,-1,2,1,1,"2013-02-10 09:37:38","2013-04-16 07:46:56"
"1214",22,"M","African-American","Less than 25","Low","Male",0,-1,3,1,1,"2013-04-19 11:33:48","2013-04-20 01:40:27"
"1215",27,"F","Caucasian","25 - 45","Low","Female",6,-1,3,1,1,"2014-03-25 09:53:07","2014-03-26 10:10:26"
"1216",42,"M","African-American","25 - 45","Low","Female",2,-1,3,0,0,"2013-01-24 11:48:41","2013-02-28 05:30:45"
"1217",25,"F","African-American","25 - 45","Medium","Male",8,0,6,1,1,"2014-01-29 12:27:09","2014-02-27 12:46:07"
"1218",49,"M","African-American","Greater than 45","Low","Male",4,0,2,0,0,"2014-02-03 12:18:15","2014-03-11 08:20:05"
"1219",52,"F","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-10-21 11:28:17","2013-11-15 09:18:28"
"1220",60,"F","Caucasian","Greater than 45","Low","Female",2,-1,1,0,0,"2013-11-24 04:19:55","2013-11-25 09:02:04"
"1221",23,"M","African-American","Less than 25","Medium","Female",0,-1,6,0,0,"2013-03-12 06:19:34","2013-03-13 08:18:42"
"1222",30,"M","African-American","25 - 45","Medium","Male",2,-1,7,0,0,"2013-01-29 08:26:44","2013-01-30 08:54:42"
"1223",48,"F","African-American","Greater than 45","Medium","Male",9,0,6,1,1,"2013-03-27 08:37:50","2013-03-31 03:02:59"
"1224",32,"F","African-American","25 - 45","Medium","Male",2,0,7,1,1,"2013-08-26 03:38:03","2013-08-27 05:13:33"
"1225",28,"F","Hispanic","25 - 45","Low","Male",3,-1,3,1,1,"2014-03-23 04:26:44","2014-03-25 04:03:13"
"1226",24,"F","African-American","Less than 25","Medium","Male",5,-1,7,1,1,"2014-07-14 05:11:29","2014-07-15 08:15:45"
"1227",22,"F","African-American","Less than 25","Medium","Male",3,20,5,1,1,"2014-01-06 01:56:32","2014-08-08 10:08:29"
"1228",44,"F","African-American","25 - 45","Low","Male",2,-1,2,0,0,"2013-02-14 06:58:25","2013-02-16 01:33:11"
"1229",32,"F","Caucasian","25 - 45","Low","Male",3,-1,4,0,0,"2013-05-25 06:05:51","2013-08-19 09:19:45"
"1230",27,"M","African-American","25 - 45","Low","Female",1,-1,2,0,0,"2013-09-20 11:29:45","2013-09-21 08:27:05"
"1231",52,"M","African-American","Greater than 45","Low","Male",15,0,4,1,1,"2014-01-15 05:40:21","2014-01-16 03:54:05"
"1232",61,"M","Caucasian","Greater than 45","Low","Male",3,0,2,1,1,"2014-09-22 07:01:15","2014-09-23 03:26:36"
"1233",69,"M","African-American","Greater than 45","Low","Male",3,0,1,0,0,"2013-08-07 02:40:49","2013-08-07 08:00:30"
"1234",51,"F","Other","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-13 06:08:08","2013-09-16 07:20:06"
"1235",21,"F","Caucasian","Less than 25","Medium","Female",1,-1,6,0,0,"2014-01-29 07:19:41","2014-01-31 03:52:13"
"1236",31,"M","Caucasian","25 - 45","Medium","Male",2,-1,6,1,1,"2013-02-08 11:38:00","2013-02-12 08:15:58"
"1237",19,"F","African-American","Less than 25","Low","Male",3,-1,4,1,1,"2014-10-27 07:39:49","2014-11-26 11:22:02"
"1238",24,"M","African-American","Less than 25","High","Male",12,0,9,1,1,"2013-01-31 03:56:16","2013-03-09 03:03:58"
"1239",24,"F","Caucasian","Less than 25","High","Male",3,-1,8,1,1,"2013-03-23 07:21:38","2013-03-29 10:17:53"
"1240",57,"F","Hispanic","Greater than 45","Low","Male",3,-2,1,0,0,"2013-09-21 01:28:03","2013-09-22 01:50:17"
"1241",30,"F","Caucasian","25 - 45","Medium","Male",6,-1,7,0,0,"2013-08-05 09:52:27","2013-08-12 07:37:35"
"1242",43,"F","African-American","25 - 45","Low","Male",4,-1,1,1,1,"2014-12-16 07:58:26","2014-12-18 04:40:49"
"1243",24,"F","African-American","Less than 25","Medium","Male",4,-1,7,0,0,"2013-08-22 04:33:49","2013-08-27 01:19:42"
"1244",30,"M","Caucasian","25 - 45","Medium","Female",7,-18,7,0,0,"2013-10-11 07:33:17","2013-10-29 05:43:13"
"1245",25,"F","African-American","25 - 45","High","Male",5,-1,9,1,1,"2014-11-12 11:32:03","2014-11-14 01:37:32"
"1246",56,"F","Caucasian","Greater than 45","High","Female",1,-1,8,0,0,"2013-01-01 08:39:42","2013-06-20 05:12:00"
"1247",21,"F","African-American","Less than 25","High","Male",1,-8,8,0,0,"2013-02-12 01:28:50","2013-02-20 09:54:56"
"1248",31,"F","African-American","25 - 45","High","Male",6,-1,10,1,1,"2013-01-04 04:19:50","2013-02-04 12:38:13"
"1249",23,"F","African-American","Less than 25","High","Female",1,-1,9,0,0,"2013-04-17 03:45:44","2013-04-18 09:35:33"
"1250",30,"F","African-American","25 - 45","High","Male",15,-1,10,1,1,"2013-03-01 08:46:59","2013-03-03 03:19:38"
"1251",42,"M","Other","25 - 45","Low","Male",1,-13,1,0,0,"2013-06-04 03:44:44","2013-06-04 07:34:46"
"1252",64,"F","Caucasian","Greater than 45","Low","Male",0,-1,3,0,0,"2013-01-11 08:49:41","2013-04-30 06:24:32"
"1253",21,"F","Caucasian","Less than 25","Medium","Female",0,-1,6,1,1,"2014-12-27 09:18:01","2014-12-28 01:35:14"
"1254",36,"F","African-American","25 - 45","Low","Male",5,17,3,0,0,"2013-11-16 02:26:39","2013-11-27 05:46:49"
"1255",50,"F","African-American","Greater than 45","Low","Female",1,-1,1,0,0,"2013-08-29 06:41:54","2013-08-30 08:31:24"
"1256",23,"M","African-American","Less than 25","Low","Male",0,0,3,1,1,"2014-10-22 12:11:33","2014-10-23 03:13:19"
"1257",28,"F","Native American","25 - 45","Low","Male",2,-1,3,0,0,"2013-04-25 08:44:42","2013-06-13 10:12:31"
"1258",25,"F","Caucasian","25 - 45","Medium","Female",5,-3,7,0,0,"2013-01-25 01:47:43","2013-01-25 09:37:49"
"1259",54,"M","Caucasian","Greater than 45","Low","Male",14,-1,4,1,1,"2014-04-08 09:56:20","2014-05-06 10:12:47"
"1260",37,"M","Other","25 - 45","Low","Male",6,-1,1,0,0,"2013-12-26 04:59:22","2013-12-27 08:15:19"
"1261",25,"M","Caucasian","25 - 45","High","Male",5,-1,9,1,1,"2013-11-06 11:10:50","2013-11-21 09:35:41"
"1262",63,"M","Caucasian","Greater than 45","Low","Male",0,0,1,1,1,"2013-11-10 02:08:05","2013-11-13 05:58:16"
"1263",35,"M","African-American","25 - 45","Medium","Male",2,-1,7,0,0,"2014-03-21 03:10:20","2014-03-22 08:07:10"
"1264",26,"M","Hispanic","25 - 45","Low","Male",0,-1,1,1,1,"2013-01-21 08:16:29","2013-01-22 01:59:00"
"1265",25,"M","African-American","25 - 45","High","Male",8,-1,10,1,1,"2013-04-08 05:47:18","2013-04-10 01:26:53"
"1266",33,"M","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2013-12-01 10:12:15","2013-12-02 01:55:48"
"1267",29,"F","African-American","25 - 45","Low","Male",7,-1,3,0,0,"2013-03-11 06:21:47","2013-03-13 02:21:18"
"1268",27,"M","Hispanic","25 - 45","Low","Male",2,-1,4,0,0,"2013-02-20 06:36:20","2013-02-21 01:30:47"
"1269",37,"M","African-American","25 - 45","High","Male",12,-1,9,1,1,"2013-05-18 08:27:45","2013-05-19 01:14:43"
"1270",20,"M","Caucasian","Less than 25","High","Female",3,-1,10,1,1,"2014-03-25 06:58:54","2014-03-26 01:23:55"
"1271",32,"F","African-American","25 - 45","Low","Male",1,-1,2,1,1,"2014-08-16 03:33:47","2014-08-17 08:45:33"
"1272",72,"M","Caucasian","Greater than 45","Low","Male",1,-23,1,0,0,"2013-05-25 07:53:47","2013-05-26 08:34:25"
"1273",38,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-16 03:54:04","2013-04-18 10:30:00"
"1274",40,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0,"2013-03-08 09:44:15","2013-03-09 01:22:15"
"1275",23,"F","Caucasian","Less than 25","Low","Male",0,-1,3,0,0,"2014-03-12 12:50:45","2014-03-13 10:24:23"
"1276",21,"F","Caucasian","Less than 25","High","Male",5,-10,8,1,1,"2014-05-09 09:30:19","2014-05-11 01:49:57"
"1277",27,"F","Caucasian","25 - 45","Medium","Male",4,0,7,1,1,"2013-05-10 03:57:29","2013-05-10 07:50:28"
"1278",55,"F","Caucasian","Greater than 45","Medium","Male",13,-1,6,1,1,"2014-11-03 12:57:30","2014-11-04 08:57:17"
"1279",41,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2014-01-09 08:49:51","2014-01-10 01:49:35"
"1280",56,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-05-15 06:33:00","2013-05-17 09:07:02"
"1281",55,"M","Caucasian","Greater than 45","Medium","Male",11,-1,7,0,0,"2013-05-02 03:15:21","2013-06-28 09:30:37"
"1282",23,"F","Hispanic","Less than 25","Medium","Female",0,-2,6,1,1,"2013-06-09 12:16:01","2013-06-11 01:19:44"
"1283",28,"F","African-American","25 - 45","Low","Male",3,-1,2,0,0,"2013-08-23 12:58:10","2013-08-24 09:05:06"
"1284",31,"F","Other","25 - 45","Low","Male",2,-1,2,1,1,"2013-05-01 03:08:07","2013-05-14 11:36:33"
"1285",53,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-04-14 09:55:04","2013-04-15 07:44:31"
"1286",27,"F","African-American","25 - 45","Medium","Male",6,-1,5,1,1,"2014-11-14 10:20:22","2014-11-24 10:35:08"
"1287",22,"F","Caucasian","Less than 25","Medium","Male",0,-1,5,1,1,"2013-12-30 09:35:38","2013-12-31 09:30:33"
"1288",22,"F","African-American","Less than 25","Low","Female",0,-1,4,1,1,"2014-01-29 08:32:59","2014-01-30 01:32:46"
"1289",33,"M","African-American","25 - 45","Medium","Male",7,-1,6,1,1,"2013-03-01 05:09:59","2013-03-03 04:26:19"
"1290",34,"F","African-American","25 - 45","Medium","Male",15,-6,7,0,0,"2013-04-20 04:52:17","2013-04-26 10:39:19"
"1291",22,"M","Hispanic","Less than 25","Low","Male",0,0,3,1,1,"2013-11-01 05:09:17","2013-11-02 03:00:00"
"1292",32,"F","African-American","25 - 45","High","Male",12,-1,8,1,0,"2013-01-14 02:13:57","2013-01-15 06:58:20"
"1293",47,"F","African-American","Greater than 45","High","Male",14,-1,9,1,1,"2013-05-28 10:29:53","2013-05-29 01:39:49"
"1294",24,"M","Asian","Less than 25","Low","Male",0,0,2,0,0,"2013-01-10 02:33:14","2013-01-10 06:49:00"
"1295",25,"F","African-American","25 - 45","High","Male",14,-1,10,1,1,"2013-09-21 05:23:05","2013-12-13 05:27:00"
"1296",56,"F","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-04-30 12:38:57","2013-04-30 07:45:44"
"1297",36,"F","Hispanic","25 - 45","Low","Male",1,30,4,1,1,"2013-02-06 10:09:18","2013-05-24 06:02:05"
"1298",28,"F","African-American","25 - 45","Medium","Male",4,0,6,1,1,"2013-05-14 03:57:54","2013-06-04 05:09:09"
"1299",20,"F","African-American","Less than 25","High","Male",2,-1,9,1,1,"2014-06-20 09:05:06","2014-06-21 08:48:06"
"1300",59,"M","Hispanic","Greater than 45","Low","Male",0,-2,1,0,0,"2013-08-25 04:54:17","2013-08-26 08:49:40"
"1301",29,"F","African-American","25 - 45","High","Female",11,-1,8,0,0,"2013-11-02 11:52:10","2013-11-03 07:25:02"
"1302",72,"F","Caucasian","Greater than 45","Low","Male",3,-5,1,0,0,"2014-03-14 12:25:05","2014-03-19 02:55:55"
"1303",24,"M","African-American","Less than 25","Medium","Female",2,-1,7,1,1,"2013-02-01 08:31:26","2013-02-15 08:31:42"
"1304",45,"F","African-American","Greater than 45","High","Male",3,6,9,0,0,"2013-08-06 05:19:17","2013-09-11 11:36:45"
"1305",30,"M","African-American","25 - 45","High","Male",7,0,10,1,1,"2014-04-05 01:40:40","2014-04-07 03:04:32"
"1306",45,"M","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-01-01 11:17:23","2013-01-02 07:35:39"
"1307",47,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2014-02-11 08:50:50","2014-02-12 08:19:27"
"1308",24,"F","African-American","Less than 25","Low","Male",0,-1,3,1,1,"2013-08-07 07:24:46","2013-08-17 04:49:12"
"1309",20,"M","African-American","Less than 25","Low","Male",0,-1,3,1,1,"2014-09-08 10:28:08","2014-09-11 05:12:33"
"1310",51,"F","Caucasian","Greater than 45","Low","Male",6,0,1,1,1,"2014-05-12 01:49:09","2014-05-12 07:22:31"
"1311",49,"M","Caucasian","Greater than 45","Low","Female",2,-1,2,1,1,"2013-08-10 09:55:10","2013-08-22 09:53:33"
"1312",41,"F","Caucasian","25 - 45","Low","Male",5,-1,1,0,0,"2013-09-11 06:57:23","2013-09-12 08:29:30"
"1313",49,"F","Caucasian","Greater than 45","Low","Male",1,-16,3,0,0,"2014-01-05 12:24:06","2014-01-18 09:56:35"
"1314",26,"M","Hispanic","25 - 45","Low","Male",0,-1,1,0,0,"2013-10-06 06:10:59","2013-10-07 02:03:13"
"1315",28,"M","African-American","25 - 45","Low","Female",0,-1,3,0,0,"2013-10-20 09:56:04","2013-10-21 09:59:59"
"1316",33,"M","Caucasian","25 - 45","Low","Male",2,-1,2,0,0,"2013-03-29 10:41:27","2013-03-31 02:30:16"
"1317",46,"F","African-American","Greater than 45","Medium","Male",0,0,7,0,0,"2013-11-12 12:24:02","2013-11-13 02:28:20"
"1318",21,"M","African-American","Less than 25","Low","Male",0,-1,4,1,0,"2013-03-06 12:46:52","2013-03-08 05:32:23"
"1319",26,"F","African-American","25 - 45","High","Male",14,0,9,1,1,"2013-08-13 12:24:29","2013-08-13 10:16:00"
"1320",48,"F","Hispanic","Greater than 45","Low","Male",1,2,1,1,1,"2013-04-18 07:59:19","2013-08-22 11:38:00"
"1321",58,"F","African-American","Greater than 45","Medium","Male",24,0,6,1,1,"2013-09-16 03:15:20","2013-09-19 09:14:48"
"1322",29,"F","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-01-02 08:04:21","2013-01-03 11:24:59"
"1323",20,"F","African-American","Less than 25","High","Female",2,-1,10,1,1,"2014-12-13 06:46:56","2015-01-05 09:45:19"
"1324",28,"M","African-American","25 - 45","Low","Male",0,0,4,1,1,"2013-03-21 02:14:25","2013-03-21 07:15:13"
"1325",21,"F","Caucasian","Less than 25","High","Male",0,0,8,1,1,"2013-05-10 02:20:24","2013-05-14 05:41:25"
"1326",26,"F","Other","25 - 45","Medium","Male",0,-1,7,0,0,"2013-02-14 12:24:49","2013-02-15 07:56:24"
"1327",34,"M","African-American","25 - 45","Low","Male",3,-4,1,0,0,"2013-04-25 12:41:50","2013-04-26 07:20:08"
"1328",32,"F","African-American","25 - 45","High","Male",15,-1,8,1,1,"2013-05-26 02:00:57","2013-06-02 04:30:37"
"1329",38,"F","African-American","25 - 45","Low","Male",10,0,4,1,1,"2013-02-24 02:36:13","2013-03-06 10:26:40"
"1330",22,"F","African-American","Less than 25","Low","Male",0,-1,3,0,0,"2014-03-20 06:54:43","2014-03-21 08:13:07"
"1331",42,"F","Caucasian","25 - 45","Medium","Male",2,-1,5,1,1,"2013-12-09 06:46:33","2013-12-09 09:04:01"
"1332",57,"M","Caucasian","Greater than 45","Low","Female",0,-1,4,0,0,"2013-05-17 03:48:40","2013-05-18 08:14:16"
"1333",56,"F","Caucasian","Greater than 45","Low","Female",1,-20,1,0,0,"2013-06-01 06:55:42","2013-06-02 08:24:40"
"1334",32,"M","Hispanic","25 - 45","Medium","Male",2,0,5,1,1,"2013-09-28 04:33:57","2013-09-29 02:18:38"
"1335",30,"F","African-American","25 - 45","High","Male",11,-1,8,0,0,"2013-04-30 09:54:32","2013-05-01 08:55:25"
"1336",29,"M","African-American","25 - 45","Low","Male",2,-1,1,0,0,"2014-03-16 09:38:22","2014-03-17 02:19:07"
"1337",46,"F","African-American","Greater than 45","Medium","Male",15,-1,7,1,1,"2013-05-27 10:42:08","2013-06-03 08:56:07"
"1338",24,"F","African-American","Less than 25","Low","Female",0,-1,3,0,0,"2014-02-25 09:55:41","2014-02-26 09:35:41"
"1339",70,"F","African-American","Greater than 45","Low","Female",1,-1,1,0,0,"2013-01-27 07:29:53","2013-01-29 07:21:13"
"1340",21,"F","Hispanic","Less than 25","Medium","Male",0,0,6,1,1,"2014-01-19 03:10:12","2014-01-19 09:19:21"
"1341",45,"M","Caucasian","Greater than 45","Low","Female",1,-11,1,0,0,"2013-01-06 09:52:49","2013-01-07 01:30:27"
"1342",33,"M","Hispanic","25 - 45","Low","Female",2,-1,4,0,0,"2013-10-20 05:05:52","2013-10-22 05:40:12"
"1343",39,"F","African-American","25 - 45","Medium","Female",6,0,5,0,0,"2013-01-19 02:54:51","2013-01-20 01:40:51"
"1344",25,"F","Caucasian","25 - 45","Low","Male",6,-16,4,0,0,"2013-04-16 09:53:01","2013-04-18 07:30:00"
"1345",48,"M","Hispanic","Greater than 45","Low","Male",1,0,1,0,0,"2013-01-31 02:01:00","2013-02-01 05:20:16"
"1346",46,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-05-11 12:25:37","2013-05-12 07:06:09"
"1347",28,"M","Caucasian","25 - 45","Low","Male",0,0,2,1,1,"2013-01-24 12:35:09","2013-01-27 08:05:49"
"1348",27,"F","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2014-01-28 08:05:58","2014-01-29 09:07:24"
"1349",43,"F","Caucasian","25 - 45","Medium","Male",11,16,7,1,1,"2013-09-06 05:24:24","2013-11-22 04:21:07"
"1350",30,"F","African-American","25 - 45","High","Male",9,0,10,1,1,"2013-05-01 03:22:06","2013-06-20 06:27:48"
"1351",29,"F","Caucasian","25 - 45","Low","Male",1,-22,3,0,0,"2013-07-30 09:15:09","2013-07-31 01:52:59"
"1352",54,"F","African-American","Greater than 45","Low","Male",8,0,1,1,1,"2014-07-20 12:05:31","2014-07-20 09:40:53"
"1353",20,"F","Caucasian","Less than 25","Low","Female",0,0,4,0,0,"2013-11-23 05:18:46","2013-11-23 09:23:39"
"1354",29,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2013-12-17 09:14:03","2013-12-18 01:06:10"
"1355",67,"M","Asian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-08-19 09:39:32","2013-08-20 01:59:18"
"1356",25,"F","Other","25 - 45","Low","Male",0,-1,2,0,0,"2013-08-12 10:12:43","2013-08-13 08:19:01"
"1357",24,"F","African-American","Less than 25","High","Male",8,-1,9,1,1,"2013-05-15 06:50:18","2013-05-16 04:10:04"
"1358",29,"F","Other","25 - 45","Medium","Male",3,-1,6,0,0,"2013-05-10 05:06:24","2013-11-04 03:54:40"
"1359",45,"M","African-American","Greater than 45","Medium","Male",2,-1,6,0,0,"2013-02-01 10:14:11","2013-03-02 04:50:50"
"1360",31,"F","African-American","25 - 45","Medium","Male",5,-1,5,1,1,"2013-01-18 09:23:08","2013-01-29 10:28:30"
"1361",23,"F","Caucasian","Less than 25","Low","Male",0,-1,3,1,1,"2014-06-11 09:35:23","2014-06-19 05:16:19"
"1362",21,"F","African-American","Less than 25","High","Male",0,-1,8,1,1,"2014-02-13 05:07:42","2014-02-22 03:58:11"
"1363",61,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2014-02-04 08:06:57","2014-02-05 01:12:10"
"1364",51,"M","Caucasian","Greater than 45","Medium","Female",5,-1,7,1,1,"2013-11-29 12:24:59","2013-12-20 06:40:40"
"1365",32,"F","Other","25 - 45","Low","Male",1,-15,1,0,0,"2013-05-30 04:25:33","2013-06-14 11:57:29"
"1366",43,"F","Caucasian","25 - 45","Medium","Male",9,-2,6,0,0,"2013-02-19 09:10:57","2013-02-20 06:59:39"
"1367",32,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2014-01-24 01:37:33","2014-01-25 08:23:35"
"1368",36,"F","African-American","25 - 45","Medium","Male",0,-1,5,0,0,"2014-02-11 12:51:04","2014-02-12 08:49:49"
"1369",58,"F","Caucasian","Greater than 45","Low","Male",3,0,4,1,1,"2013-09-26 03:32:21","2013-10-11 09:41:23"
"1370",57,"F","African-American","Greater than 45","High","Male",12,-1,9,0,0,"2013-05-28 08:29:39","2013-07-18 03:49:07"
"1371",37,"F","African-American","25 - 45","Medium","Male",2,0,7,0,0,"2013-01-14 04:05:27","2013-01-14 08:46:06"
"1372",44,"F","African-American","25 - 45","Medium","Male",6,-1,6,0,0,"2013-10-22 04:50:30","2013-10-24 03:57:27"
"1373",45,"F","African-American","Greater than 45","Medium","Male",8,-1,7,1,1,"2013-05-03 07:04:28","2013-05-04 01:16:42"
"1374",48,"F","Other","Greater than 45","Low","Male",1,-1,1,0,0,"2013-03-28 08:32:43","2013-03-30 09:14:35"
"1375",26,"F","African-American","25 - 45","High","Male",13,0,8,1,1,"2013-08-30 12:08:40","2013-08-30 08:05:57"
"1376",34,"F","Caucasian","25 - 45","Medium","Male",9,-1,6,1,1,"2014-04-25 03:08:53","2014-04-26 07:58:38"
"1377",25,"F","African-American","25 - 45","Low","Male",0,-1,3,0,0,"2013-03-16 04:30:03","2013-03-18 03:05:32"
"1378",31,"M","African-American","25 - 45","Medium","Male",8,-1,7,1,1,"2013-02-17 12:26:34","2013-02-18 09:10:16"
"1379",43,"F","African-American","25 - 45","Low","Male",1,-1,1,0,0,"2013-09-29 03:52:01","2013-09-30 08:01:14"
"1380",30,"M","African-American","25 - 45","Low","Male",0,0,1,0,0,"2014-03-10 03:07:16","2014-03-10 09:40:37"
"1381",50,"M","Caucasian","Greater than 45","Low","Male",0,-2,1,0,0,"2013-09-21 08:09:22","2013-09-22 06:17:33"
"1382",31,"F","African-American","25 - 45","Low","Female",2,-1,2,0,0,"2013-10-07 05:44:38","2013-10-08 09:17:55"
"1383",33,"M","Caucasian","25 - 45","Medium","Female",7,-6,6,0,0,"2013-11-02 07:20:05","2013-11-03 01:50:08"
"1384",32,"F","African-American","25 - 45","Medium","Male",1,-1,5,1,1,"2013-11-06 10:29:11","2013-11-26 06:16:00"
"1385",46,"M","Caucasian","Greater than 45","Low","Female",0,0,1,1,1,"2013-12-05 03:01:54","2013-12-07 04:37:01"
"1386",22,"F","Hispanic","Less than 25","Medium","Male",0,-1,6,0,0,"2013-03-27 07:30:55","2013-03-28 08:32:07"
"1387",37,"F","African-American","25 - 45","Medium","Male",8,-1,5,1,1,"2014-05-28 06:27:10","2014-05-29 09:05:23"
"1388",32,"F","Caucasian","25 - 45","Medium","Female",6,-1,6,1,1,"2014-03-13 05:35:34","2014-03-21 07:43:44"
"1389",23,"F","African-American","Less than 25","Medium","Female",2,-1,7,1,1,"2013-12-23 08:26:11","2013-12-24 12:52:29"
"1390",21,"F","Caucasian","Less than 25","Medium","Male",0,0,5,0,0,"2013-03-01 12:01:48","2013-03-01 01:51:31"
"1391",52,"F","Other","Greater than 45","Low","Male",2,-1,1,0,0,"2013-10-17 07:46:29","2013-10-18 07:52:25"
"1392",49,"M","Caucasian","Greater than 45","Low","Male",2,-1,2,0,0,"2013-09-28 06:28:33","2013-09-29 07:31:01"
